insert into painting values(1, 0, 'Dynamic Painting', 'normal', 'Crazy Redd', 'black', 'brown')
insert into painting values(2, 0, 'Solemn Painting', 'normal', 'Crazy Redd', 'black', 'brown')
insert into painting values(3, 0, 'Quaint Painting', 'normal', 'Crazy Redd', 'white', 'brown')
insert into painting values(4, 0, 'Basic Painting', 'normal', 'Spotlight', 'blue', 'brown')
insert into painting values(5, 0, 'Famous Painting', 'normal', 'Crazy Redd', 'brown', 'brown')
insert into painting values(6, 0, 'Perfect Painting', 'normal', 'Crazy Redd', 'white', 'brown')
insert into painting values(7, 0, 'Amazing Painting', 'normal', 'Crazy Redd', 'black', 'brown')
insert into painting values(8, 0, 'Nice Painting', 'normal', 'Crazy Redd', 'red', 'brown')
insert into painting values(9, 0, 'Moving Painting', 'normal', 'Crazy Redd', 'white', 'brown')
insert into painting values(10, 0, 'Common Painting', 'normal', 'Spotlight', 'yellow', 'brown')
insert into painting values(11, 0, 'Flowery Painting', 'normal', 'Crazy Redd', 'yellow', 'brown')
insert into painting values(12, 0, 'Warm Painting', 'normal', 'Crazy Redd', 'black', 'brown')
insert into painting values(13, 0, 'Jolly Painting', 'normal', 'Crazy Redd', 'yellow', 'brown')
insert into painting values(14, 0, 'Fine Painting', 'normal', 'Crazy Redd', 'colorful', 'brown')
insert into painting values(15, 0, 'Scary Painting', 'normal', 'Crazy Redd', 'gray', 'brown')
insert into painting values(16, 0, 'Proper Painting', 'normal', 'Crazy Redd', 'orange', 'brown')
insert into painting values(17, 0, 'Strange Painting', 'normal', 'Crazy Redd', 'black', 'brown')
insert into painting values(18, 0, 'Worthy Painting', 'normal', 'Crazy Redd', 'black', 'brown')
insert into painting values(19, 0, 'Calm Painting', 'normal', 'Crazy Redd', 'colorful', 'brown')
insert into painting values(20, 0, 'Moody Painting', 'normal', 'Crazy Redd', 'colorful', 'brown')
insert into painting values(21, 0, 'Wistful Painting', 'normal', 'Crazy Redd', 'colorful', 'brown')
insert into painting values(22, 0, 'Serene Painting', 'normal', 'Crazy Redd', 'colorful', 'brown')
insert into painting values(23, 0, 'Scenic Painting', 'normal', 'Crazy Redd', 'colorful', 'brown')
