insert into shirt values(1, 0, 'Work Uniform', 'unorderable', 'Tom Nook')
insert into shirt values(2, 0, 'One-Ball Shirt', 'normal', 'Ables')
insert into shirt values(3, 0, 'Two-Ball Shirt', 'normal', 'Ables')
insert into shirt values(4, 0, 'Three-Ball Shirt', 'normal', 'Ables')
insert into shirt values(5, 0, 'Four-Ball Shirt', 'normal', 'Ables')
insert into shirt values(6, 0, 'Five-Ball Shirt', 'normal', 'Ables')
insert into shirt values(7, 0, 'Six-Ball Shirt', 'normal', 'Ables')
insert into shirt values(8, 0, 'Seven-Ball Shirt', 'normal', 'Ables')
insert into shirt values(9, 0, 'Eight-Ball Shirt', 'normal', 'Ables')
insert into shirt values(10, 0, 'Nine-Ball Shirt', 'normal', 'Ables')
insert into shirt values(11, 0, 'Paw Shirt', 'normal', 'Ables')
insert into shirt values(12, 0, 'Daisy Shirt', 'normal', 'Ables')
insert into shirt values(13, 0, 'Tulip Shirt', 'normal', 'Ables')
insert into shirt values(14, 0, 'Cherry Shirt', 'normal', 'Ables')
insert into shirt values(15, 0, 'Skull Shirt', 'normal', 'Ables')
insert into shirt values(16, 0, 'U R Here Shirt', 'normal', 'Ables')
insert into shirt values(17, 0, 'Lightning Shirt', 'normal', 'Ables')
insert into shirt values(18, 0, 'MVP Shirt', 'normal', 'Ables')
insert into shirt values(19, 0, 'BB Shirt', 'normal', 'Ables')
insert into shirt values(20, 0, 'Fish-Bone Shirt', 'normal', 'Ables')
insert into shirt values(21, 0, 'Frog Shirt', 'normal', 'Ables')
insert into shirt values(22, 0, 'Bear Shirt', 'normal', 'Ables')
insert into shirt values(23, 0, 'Bunny Shirt', 'normal', 'Ables')
insert into shirt values(24, 0, 'Elephant Shirt', 'normal', 'Ables')
insert into shirt values(25, 0, 'Spade Shirt', 'normal', 'Ables')
insert into shirt values(26, 0, 'Diamond Shirt', 'normal', 'Ables')
insert into shirt values(27, 0, 'Club Shirt', 'normal', 'Ables')
insert into shirt values(28, 0, 'Heart Shirt', 'normal', 'Ables')
insert into shirt values(29, 0, 'Big Star Shirt', 'normal', 'Ables')
insert into shirt values(30, 0, 'Bright Shirt', 'normal', 'Ables')
insert into shirt values(31, 0, 'A Shirt', 'normal', 'Ables')
insert into shirt values(32, 0, 'No. 1 Shirt', 'normal', 'Ables')
insert into shirt values(33, 0, 'No. 2 Shirt', 'normal', 'Ables')
insert into shirt values(34, 0, 'No. 3 Shirt', 'normal', 'Ables')
insert into shirt values(35, 0, 'No. 4 Shirt', 'normal', 'Ables')
insert into shirt values(36, 0, 'No. 5 Shirt', 'normal', 'Ables')
insert into shirt values(37, 0, 'No. 23 Shirt', 'normal', 'Ables')
insert into shirt values(38, 0, 'No. 67 Shirt', 'normal', 'Ables')
insert into shirt values(39, 0, 'Big Bro''s Shirt', 'normal', 'Ables')
insert into shirt values(40, 0, 'Li''l Bro''s Shirt', 'normal', 'Ables')
insert into shirt values(41, 0, 'Cloudy Shirt', 'normal', 'Ables')
insert into shirt values(42, 0, 'Fresh Shirt', 'normal', 'Ables')
insert into shirt values(43, 0, 'Dawn Shirt', 'normal', 'Ables')
insert into shirt values(44, 0, 'Misty Shirt', 'normal', 'Ables')
insert into shirt values(45, 0, 'Sunset Top', 'normal', 'Ables')
insert into shirt values(46, 0, 'Deep Blue Tee', 'normal', 'Ables')
insert into shirt values(47, 0, 'Peachy Shirt', 'normal', 'Ables')
insert into shirt values(48, 0, 'Rainbow Shirt', 'normal', 'Ables')
insert into shirt values(49, 0, 'Snowcone Shirt', 'normal', 'Ables')
insert into shirt values(50, 0, 'Orange Tie-Dye', 'normal', 'Ables')
insert into shirt values(51, 0, 'Purple Tie-Dye', 'normal', 'Ables')
insert into shirt values(52, 0, 'Green Tie-Dye', 'normal', 'Ables')
insert into shirt values(53, 0, 'Blue Tie-Dye', 'normal', 'Ables')
insert into shirt values(54, 0, 'Red Tie-Dye', 'normal', 'Ables')
insert into shirt values(55, 0, 'Bold Check Shirt', 'normal', 'Ables')
insert into shirt values(56, 0, 'Cafe Shirt', 'normal', 'Ables')
insert into shirt values(57, 0, 'Checkered Shirt', 'normal', 'Ables')
insert into shirt values(58, 0, 'Blue Check Shirt', 'normal', 'Ables')
insert into shirt values(59, 0, 'Red Check Shirt', 'normal', 'Ables')
insert into shirt values(60, 0, 'Houndstooth Knit', 'normal', 'Ables')
insert into shirt values(61, 0, 'Houndstooth Tee', 'normal', 'Ables')
insert into shirt values(62, 0, 'Rugby Shirt', 'normal', 'Ables')
insert into shirt values(63, 0, 'Green Bar Shirt', 'normal', 'Ables')
insert into shirt values(64, 0, 'Yellow Bar Shirt', 'normal', 'Ables')
insert into shirt values(65, 0, 'Grape Stripe Tee', 'normal', 'Ables')
insert into shirt values(66, 0, 'Beatnik Shirt', 'normal', 'Ables')
insert into shirt values(67, 0, 'Red Bar Shirt', 'normal', 'Ables')
insert into shirt values(68, 0, 'Blue Stripe Knit', 'normal', 'Ables')
insert into shirt values(69, 0, 'Gelato Shirt', 'normal', 'Ables')
insert into shirt values(70, 0, 'Chain-Gang Shirt', 'normal', 'Ables')
insert into shirt values(71, 0, 'Speedway Shirt', 'normal', 'Ables')
insert into shirt values(72, 0, 'Yellow Tartan', 'normal', 'Ables')
insert into shirt values(73, 0, 'Fall Plaid Shirt', 'normal', 'Ables')
insert into shirt values(74, 0, 'Blue Tartan', 'normal', 'Ables')
insert into shirt values(75, 0, 'Dapper Shirt', 'normal', 'Ables')
insert into shirt values(76, 0, 'Natty Shirt', 'normal', 'Ables')
insert into shirt values(77, 0, 'Blue Grid Shirt', 'normal', 'Ables')
insert into shirt values(78, 0, 'Red Grid Shirt', 'normal', 'Ables')
insert into shirt values(79, 0, 'Dazed Shirt', 'normal', 'Ables')
insert into shirt values(80, 0, 'Checkerboard Tee', 'normal', 'Ables')
insert into shirt values(81, 0, 'Toad Shirt', 'normal', 'Ables')
insert into shirt values(82, 0, 'Dark Polka Shirt', 'normal', 'Ables')
insert into shirt values(83, 0, 'Lite Polka Shirt', 'normal', 'Ables')
insert into shirt values(84, 0, 'Bubble Gum Shirt', 'normal', 'Ables')
insert into shirt values(85, 0, 'Funky Dot Shirt', 'normal', 'Ables')
insert into shirt values(86, 0, 'Gumdrop Shirt', 'normal', 'Ables')
insert into shirt values(87, 0, 'Big Dot Shirt', 'normal', 'Ables')
insert into shirt values(88, 0, 'Aqua Polka Shirt', 'normal', 'Ables')
insert into shirt values(89, 0, 'Blue Pinstripe', 'normal', 'Ables')
insert into shirt values(90, 0, 'Yellow Pinstripe', 'normal', 'Ables')
insert into shirt values(91, 0, 'Orange Pinstripe', 'unorderable', 'GracieGrace')
insert into shirt values(92, 0, 'Vegetarian Shirt', 'normal', 'Ables')
insert into shirt values(93, 0, 'Racer Shirt', 'normal', 'Ables')
insert into shirt values(94, 0, 'American Shirt', 'normal', 'Ables')
insert into shirt values(95, 0, 'Rally Shirt', 'normal', 'Ables')
insert into shirt values(96, 0, 'Racer 6 Shirt', 'normal', 'Ables')
insert into shirt values(97, 0, 'Vertigo Shirt', 'normal', 'Ables')
insert into shirt values(98, 0, 'Barber Shirt', 'normal', 'Ables')
insert into shirt values(99, 0, 'Jade Check Print', 'normal', 'Ables')
insert into shirt values(100, 0, 'Blue Check Print', 'normal', 'Ables')
insert into shirt values(101, 0, 'Mint Gingham Top', 'normal', 'Ables')
insert into shirt values(102, 0, 'Picnic Shirt', 'normal', 'Ables')
insert into shirt values(103, 0, 'Candy Gingham', 'normal', 'Ables')
insert into shirt values(104, 0, 'Lemon Gingham', 'normal', 'Ables')
insert into shirt values(105, 0, 'Melon Gingham', 'normal', 'Ables')
insert into shirt values(106, 0, 'Bad Plaid Shirt', 'normal', 'Ables')
