insert into wallpaper values(1, 0, 'Exotic Wall', 'normal', 'Nook''s')
insert into wallpaper values(2, 0, 'Lovely Wall', 'normal', 'Nook''s')
insert into wallpaper values(3, 0, 'Classic Wall', 'normal', 'Nook''s')
insert into wallpaper values(4, 0, 'Ranch Wall', 'normal', 'Nook''s')
insert into wallpaper values(5, 0, 'Cabana Wall', 'normal', 'Nook''s')
insert into wallpaper values(6, 0, 'Blue Wall', 'normal', 'Nook''s')
insert into wallpaper values(7, 0, 'Modern Wall', 'normal', 'Nook''s')
insert into wallpaper values(8, 0, 'Regal Wall', 'normal', 'Nook''s')
insert into wallpaper values(9, 0, 'Green Wall', 'normal', 'Nook''s')
insert into wallpaper values(10, 0, 'Cabin Wall', 'normal', 'Nook''s')
insert into wallpaper values(11, 0, 'Kiddie Wall', 'normal', 'Nook''s')
insert into wallpaper values(12, 0, 'Robo-Wall', 'normal', 'Nook''s')
insert into wallpaper values(13, 0, 'Snowman Wall', 'unorderable', 'Snowman')
insert into wallpaper values(14, 0, 'Forest Wall', 'unorderable', 'mushrooms')
insert into wallpaper values(15, 0, 'Pave Wall', 'unorderable', 'Pave')
insert into wallpaper values(16, 0, 'Egg Wall', 'unorderable', 'Zipper T. Bunny')
insert into wallpaper values(17, 0, 'Spooky Wall', 'unorderable', 'Jack')
insert into wallpaper values(18, 0, 'Harvest Wall', 'unorderable', 'Franklin')
insert into wallpaper values(19, 0, 'Jingle Wall', 'unorderable', 'Jingle')
insert into wallpaper values(20, 0, 'Princess Wall', 'unorderable', 'GracieGrace')
insert into wallpaper values(21, 0, 'Gracie Wallpaper', 'unorderable', 'GracieGrace')
insert into wallpaper values(22, 0, 'Sweets Wall', 'unorderable', 'GracieGrace')
insert into wallpaper values(23, 0, 'Gorgeous Wall', 'unorderable', 'GracieGrace')
insert into wallpaper values(24, 0, 'Western Vista', 'unorderable', 'Saharah')
insert into wallpaper values(25, 0, 'Lunar Horizon', 'unorderable', 'Saharah')
insert into wallpaper values(26, 0, 'Blue Tarp', 'unorderable', 'Saharah')
insert into wallpaper values(27, 0, 'Ringside Seating', 'unorderable', 'Saharah')
insert into wallpaper values(28, 0, 'Backyard Fence', 'normal', 'Nook''s')
insert into wallpaper values(29, 0, 'Playroom Wall', 'normal', 'Nook''s')
insert into wallpaper values(30, 0, 'Sea View', 'unorderable', 'Pascal')
insert into wallpaper values(31, 0, 'Lab Wall', 'normal', 'Nook''s')
insert into wallpaper values(32, 0, 'Classroom Wall', 'unorderable', 'Saharah')
insert into wallpaper values(33, 0, 'Bathhouse Wall', 'unorderable', 'Saharah')
insert into wallpaper values(34, 0, 'Pastel-Dot Wall', 'normal', 'Nook''s')
insert into wallpaper values(35, 0, 'Parlor Wall', 'normal', 'Nook''s')
insert into wallpaper values(36, 0, 'Mod Wall', 'normal', 'Nook''s')
insert into wallpaper values(37, 0, 'Kitschy Wall', 'normal', 'Nook''s')
insert into wallpaper values(38, 0, 'Groovy Wall', 'normal', 'Nook''s')
insert into wallpaper values(39, 0, 'Backgammon Wall', 'unorderable', 'Saharah')
insert into wallpaper values(40, 0, 'Mosaic Wall', 'normal', 'Nook''s')
insert into wallpaper values(41, 0, 'Blue-Trim Wall', 'normal', 'Nook''s')
insert into wallpaper values(42, 0, 'Plaster Wall', 'normal', 'Nook''s')
insert into wallpaper values(43, 0, 'Chic Wall', 'normal', 'Nook''s')
insert into wallpaper values(44, 0, 'Ornate Wall', 'normal', 'Nook''s')
insert into wallpaper values(45, 0, 'Citrus Wall', 'normal', 'Nook''s')
insert into wallpaper values(46, 0, 'Rose Wall', 'normal', 'Nook''s')
insert into wallpaper values(47, 0, 'Old Brick Wall', 'normal', 'Nook''s')
insert into wallpaper values(48, 0, 'Shoji Screen', 'unorderable', 'Saharah')
insert into wallpaper values(49, 0, 'Gold Screen Wall', 'normal', 'Nook''s')
insert into wallpaper values(50, 0, 'Tea-Room Wall', 'normal', 'Nook''s')
insert into wallpaper values(51, 0, 'Modern Screen', 'normal', 'Nook''s')
insert into wallpaper values(52, 0, 'Garden Wall', 'unorderable', 'Saharah')
insert into wallpaper values(53, 0, 'Mortar Wall', 'unorderable', 'Saharah')
insert into wallpaper values(54, 0, 'Stone Wall', 'normal', 'Nook''s')
insert into wallpaper values(55, 0, 'Concrete Wall', 'normal', 'Nook''s')
insert into wallpaper values(56, 0, 'Basement Wall', 'unorderable', 'Saharah')
insert into wallpaper values(57, 0, 'Shanty Wall', 'normal', 'Nook''s')
insert into wallpaper values(58, 0, 'Wood Paneling', 'normal', 'Nook''s')
insert into wallpaper values(59, 0, 'Floral Wall', 'normal', 'Nook''s')
insert into wallpaper values(60, 0, 'Kitchen Wall', 'normal', 'Nook''s')
insert into wallpaper values(61, 0, 'Music-Room Wall', 'unorderable', 'Saharah')
insert into wallpaper values(62, 0, 'Manor Wall', 'normal', 'Nook''s')
insert into wallpaper values(63, 0, 'Office Wall', 'unorderable', 'Saharah')
insert into wallpaper values(64, 0, 'Plaza Wall', 'normal', 'Nook''s')
insert into wallpaper values(65, 0, 'Lattice Wall', 'normal', 'Nook''s')
insert into wallpaper values(66, 0, 'Stately Wall', 'normal', 'Nook''s')
insert into wallpaper values(67, 0, 'Imperial Wall', 'normal', 'Nook''s')
insert into wallpaper values(68, 0, 'Arched Window', 'normal', 'Nook''s')
insert into wallpaper values(69, 0, 'Bamboo Wall', 'normal', 'Nook''s')
insert into wallpaper values(70, 0, 'Ivy Wall', 'normal', 'Nook''s')
insert into wallpaper values(71, 0, 'Ancient Wall', 'unorderable', 'Saharah')
insert into wallpaper values(72, 0, 'Exquisite Wall', 'normal', 'Nook''s')
insert into wallpaper values(73, 0, 'Persian Wall', 'normal', 'Nook''s')
insert into wallpaper values(74, 0, 'Industrial Wall', 'unorderable', 'Saharah')
insert into wallpaper values(75, 0, 'Library Wall', 'normal', 'Nook''s')
insert into wallpaper values(76, 0, 'Illusion Wall', 'normal', 'Nook''s')
insert into wallpaper values(77, 0, 'Meadow Vista', 'unorderable', 'Saharah')
insert into wallpaper values(78, 0, 'Tropical Vista', 'unorderable', 'Saharah')
insert into wallpaper values(79, 0, 'Desert Vista', 'unorderable', 'Saharah')
insert into wallpaper values(80, 0, 'Chainlink Fence', 'normal', 'Nook''s')
insert into wallpaper values(81, 0, 'Tree-Lined Wall', 'unorderable', 'Saharah')
insert into wallpaper values(82, 0, 'Sky Wall', 'normal', 'Nook''s')
insert into wallpaper values(83, 0, 'Cityscape Wall', 'normal', 'Nook''s')
insert into wallpaper values(84, 0, 'Dirt-Clod Wall', 'normal', 'Nook''s')
insert into wallpaper values(85, 0, 'Common Wall', 'normal', 'Nook''s')
insert into wallpaper values(86, 0, 'Mushroom Mural', 'unorderable', 'Balloon')
