insert into acgc_carpet values(1, 0, 'Plush Carpet', 'orderable', 'Grp A') 
insert into acgc_carpet values(2, 0, 'Classic Carpet', 'orderable', 'Grp B') 
insert into acgc_carpet values(3, 0, 'Checkered Tile', 'orderable', 'Grp C') 
insert into acgc_carpet values(4, 0, 'Old Flooring', 'orderable', 'Grp A') 
insert into acgc_carpet values(5, 0, 'Red Tile', 'orderable', 'Grp B') 
insert into acgc_carpet values(6, 0, 'Birch Flooring', 'orderable', 'Grp C') 
insert into acgc_carpet values(7, 0, 'Classroom Floor', 'unorderable', 'Saharah') 
insert into acgc_carpet values(8, 0, 'Lovely Carpet', 'orderable', 'Grp A') 
insert into acgc_carpet values(9, 0, 'Exotic Rug', 'orderable', 'Grp B') 
insert into acgc_carpet values(10, 0, 'Mossy Carpet', 'unorderable', 'Saharah') 
insert into acgc_carpet values(11, 0, '18 Mat Tatami', 'orderable', 'Grp A') 
insert into acgc_carpet values(12, 0, '8 Mat Tatami', 'orderable', 'Grp C') 
insert into acgc_carpet values(13, 0, 'Citrus Carpet', 'orderable', 'Grp C') 
insert into acgc_carpet values(14, 0, 'Cabin Rug', 'orderable', 'Grp A') 
insert into acgc_carpet values(15, 0, 'Closed Road', 'unorderable', 'Saharah') 
insert into acgc_carpet values(16, 0, 'Lunar Surface', 'unorderable', 'Saharah') 
insert into acgc_carpet values(17, 0, 'Sand Garden', 'unorderable', 'Saharah') 
insert into acgc_carpet values(18, 0, 'Spooky Carpet', 'unorderable', 'Jack') 
insert into acgc_carpet values(19, 0, 'Bathroom Tile', 'unorderable', 'Saharah') 
insert into acgc_carpet values(20, 0, 'Green Rug', 'orderable', 'Grp A') 
insert into acgc_carpet values(21, 0, 'Blue Flooring', 'orderable', 'Grp B') 
insert into acgc_carpet values(22, 0, 'Regal Carpet', 'orderable', 'Grp C') 
insert into acgc_carpet values(23, 0, 'Ranch Flooring', 'orderable', 'Grp A') 
insert into acgc_carpet values(24, 0, 'Modern Tile', 'orderable', 'Grp B') 
insert into acgc_carpet values(25, 0, 'Cabana Flooring', 'orderable', 'Grp C') 
insert into acgc_carpet values(26, 0, 'Snowman Carpet', 'unorderable', 'Snowman') 
insert into acgc_carpet values(27, 0, 'Old Board Floor', 'orderable', 'Grp C') 
insert into acgc_carpet values(28, 0, 'Music Room Floor', 'unorderable', 'Saharah') 
insert into acgc_carpet values(29, 0, 'Plaza Tile', 'orderable', 'Grp A') 
insert into acgc_carpet values(30, 0, 'Kitchen Tile', 'orderable', 'Grp B') 
insert into acgc_carpet values(31, 0, 'Ornate Rug', 'orderable', 'Grp C') 
insert into acgc_carpet values(32, 0, 'Tatami Floor', 'orderable', 'Grp A') 
insert into acgc_carpet values(33, 0, 'Bamboo Flooring', 'orderable', 'Grp A') 
insert into acgc_carpet values(34, 0, 'Kitchen Flooring', 'orderable', 'Grp A') 
insert into acgc_carpet values(35, 0, 'Charcoal Tile', 'orderable', 'Grp B') 
insert into acgc_carpet values(36, 0, 'Stone Tile', 'orderable', 'Grp C') 
insert into acgc_carpet values(37, 0, 'Imperial Tile', 'orderable', 'Grp A') 
insert into acgc_carpet values(38, 0, 'Opulent Rug', 'orderable', 'Grp B') 
insert into acgc_carpet values(39, 0, 'Slate Flooring', 'orderable', 'Grp C') 
insert into acgc_carpet values(40, 0, 'Ceramic Tile', 'orderable', 'Grp A') 
insert into acgc_carpet values(41, 0, 'Fancy Carpet', 'orderable', 'Grp B') 
insert into acgc_carpet values(42, 0, 'Cowhide Rug', 'orderable', 'Grp C') 
insert into acgc_carpet values(43, 0, 'Steel Flooring', 'orderable', 'Grp A') 
insert into acgc_carpet values(44, 0, 'Office Flooring', 'unorderable', 'Saharah') 
insert into acgc_carpet values(45, 0, 'Ancient Tile', 'unorderable', 'Saharah') 
insert into acgc_carpet values(46, 0, 'Exquisite Rug', 'orderable', 'Grp C') 
insert into acgc_carpet values(47, 0, 'Sandlot', 'unorderable', 'Saharah') 
insert into acgc_carpet values(48, 0, 'Jingle Carpet', 'unorderable', 'Jingle') 
insert into acgc_carpet values(49, 0, 'Daisy Meadow', 'unorderable', 'Saharah') 
insert into acgc_carpet values(50, 0, 'Sidewalk', 'unorderable', 'Saharah') 
insert into acgc_carpet values(51, 0, 'Mosaic Tile', 'orderable', 'Grp B') 
insert into acgc_carpet values(52, 0, 'Parquet Floor', 'orderable', 'Grp C') 
insert into acgc_carpet values(53, 0, 'Basement Floor', 'unorderable', 'Saharah') 
insert into acgc_carpet values(54, 0, 'Chessboard Rug', 'unorderable', 'Saharah') 
insert into acgc_carpet values(55, 0, 'Kiddie Carpet', 'orderable', 'Grp B') 
insert into acgc_carpet values(56, 0, 'Shanty Mat', 'orderable', 'Grp C') 
insert into acgc_carpet values(57, 0, 'Concrete Floor', 'unorderable', 'Saharah') 
insert into acgc_carpet values(58, 0, 'Saharah's Desert', 'unorderable', 'Saharah') 
insert into acgc_carpet values(59, 0, 'Tartan Rug', 'orderable', 'Grp C') 
insert into acgc_carpet values(60, 0, 'Palace Tile', 'orderable', 'Grp A') 
insert into acgc_carpet values(61, 0, 'Tropical Floor', 'unorderable', 'Saharah') 
insert into acgc_carpet values(62, 0, 'Playroom Rug', 'orderable', 'Grp C') 
insert into acgc_carpet values(63, 0, 'Kitschy Tile', 'orderable', 'Grp B') 
insert into acgc_carpet values(64, 0, 'Diner Tile', 'orderable', 'Grp B') 
