insert into acgc_shirt values(1, 0, 'Flame Shirt', 'orderable', 'Grp A', 'all') 
insert into acgc_shirt values(2, 0, 'Paw Shirt', 'orderable', 'Grp C', 'all') 
insert into acgc_shirt values(3, 0, 'Wavy Pink Shirt', 'orderable', 'Grp B', 'all') 
insert into acgc_shirt values(4, 0, 'Future Shirt', 'orderable', 'Grp A', 'all') 
insert into acgc_shirt values(5, 0, 'Bold Check Shirt', 'orderable', 'Grp B', 'all') 
insert into acgc_shirt values(6, 0, 'Mint Gingham Top', 'orderable', 'Grp C', 'all') 
insert into acgc_shirt values(7, 0, 'Bad Plaid Shirt', 'orderable', 'Grp B', 'all') 
insert into acgc_shirt values(8, 0, 'Speedway Shirt', 'orderable', 'Grp C', 'summer') 
insert into acgc_shirt values(9, 0, 'Folk Shirt', 'orderable', 'Grp A', 'winter') 
insert into acgc_shirt values(10, 0, 'Daisy Shirt', 'orderable', 'Grp C', 'spring') 
insert into acgc_shirt values(11, 0, 'Wavy Tan Shirt', 'orderable', 'Grp C', 'fall') 
insert into acgc_shirt values(12, 0, 'Optical Shirt', 'orderable', 'Grp B', 'all') 
insert into acgc_shirt values(13, 0, 'Rugby Shirt', 'orderable', 'Grp A', 'all') 
insert into acgc_shirt values(14, 0, 'Sherbet Gingham', 'orderable', 'Grp A', 'fall') 
insert into acgc_shirt values(15, 0, 'Yellow Tartan', 'orderable', 'Grp B', 'spring') 
insert into acgc_shirt values(16, 0, 'Gelato Shirt', 'orderable', 'Grp C', 'all') 
insert into acgc_shirt values(17, 0, 'Work Uniform', 'unorderable', 'Tom Nook', 'all') 
insert into acgc_shirt values(18, 0, 'Patched Shirt', 'unorderable', 'Jack', 'all') 
insert into acgc_shirt values(19, 0, 'Red Aloha Shirt', 'unorderable', 'Island', 'all') 
insert into acgc_shirt values(20, 0, 'Blue Aloha Shirt', 'unorderable', 'Island', 'all') 
insert into acgc_shirt values(21, 0, 'Dark Polka Shirt', 'orderable', 'Grp B', 'winter') 
insert into acgc_shirt values(22, 0, 'Lite Polka Shirt', 'orderable', 'Grp B', 'all') 
insert into acgc_shirt values(23, 0, 'Lovely Shirt', 'orderable', 'Grp C', 'spring') 
insert into acgc_shirt values(24, 0, 'Citrus Shirt', 'unorderable', 'Gracie', 'all') 
insert into acgc_shirt values(25, 0, 'Kiwi Shirt', 'unorderable', 'Gracie', 'all') 
insert into acgc_shirt values(26, 0, 'Watermelon Shirt', 'unorderable', 'Gracie', 'all') 
insert into acgc_shirt values(27, 0, 'Strawberry Shirt', 'unorderable', 'Gracie', 'all') 
insert into acgc_shirt values(28, 0, 'Grape Shirt', 'unorderable', 'Gracie', 'all') 
insert into acgc_shirt values(29, 0, 'Melon Shirt', 'unorderable', 'Gracie', 'all') 
insert into acgc_shirt values(30, 0, 'Jingle Shirt', 'unorderable', 'Jingle', 'all') 
insert into acgc_shirt values(31, 0, 'Blossom Shirt', 'orderable', 'Grp A', 'spring') 
insert into acgc_shirt values(32, 0, 'Icy Shirt', 'orderable', 'Grp C', 'summer') 
insert into acgc_shirt values(33, 0, 'Crewel Shirt', 'orderable', 'Grp C', 'winter') 
insert into acgc_shirt values(34, 0, 'Tropical Shirt', 'orderable', 'Grp C', 'summer') 
insert into acgc_shirt values(35, 0, 'Ribbon Shirt', 'orderable', 'Grp A', 'spring') 
insert into acgc_shirt values(36, 0, 'Fall Plaid Shirt', 'orderable', 'Grp A', 'fall') 
insert into acgc_shirt values(37, 0, 'Fiendish Shirt', 'unorderable', 'Gracie', 'all') 
insert into acgc_shirt values(38, 0, 'Chevron Shirt', 'orderable', 'Grp C', 'all') 
insert into acgc_shirt values(39, 0, 'Ladybug Shirt', 'unorderable', 'Gracie', 'all') 
insert into acgc_shirt values(40, 0, 'Botanical Shirt', 'orderable', 'Grp B', 'fall') 
insert into acgc_shirt values(41, 0, 'Anju's Shirt', 'orderable', 'Grp A', 'fall') 
insert into acgc_shirt values(42, 0, 'Kaffe's Shirt', 'orderable', 'Grp A', 'winter') 
insert into acgc_shirt values(43, 0, 'Lavender Robe', 'unorderable', 'Gracie', 'all') 
insert into acgc_shirt values(44, 0, 'Blue Grid Shirt', 'orderable', 'Grp A', 'summer') 
insert into acgc_shirt values(45, 0, 'Butterfly Shirt', 'unorderable', 'Gracie', 'all') 
insert into acgc_shirt values(46, 0, 'Blue Tartan', 'orderable', 'Grp A', 'summer') 
insert into acgc_shirt values(47, 0, 'Gracie's Top', 'unorderable', 'Gracie', 'all') 
insert into acgc_shirt values(48, 0, 'Orange Tie-Dye', 'orderable', 'Grp A', 'all') 
insert into acgc_shirt values(49, 0, 'Purple Tie-Dye', 'orderable', 'Grp B', 'all') 
insert into acgc_shirt values(50, 0, 'Green Tie-Dye', 'orderable', 'Grp C', 'all') 
insert into acgc_shirt values(51, 0, 'Blue Tie-Dye', 'orderable', 'Grp B', 'summer') 
insert into acgc_shirt values(52, 0, 'Red Tie-Dye', 'orderable', 'Grp B', 'all') 
insert into acgc_shirt values(53, 0, 'One-Ball Shirt', 'orderable', 'Grp C', 'all') 
insert into acgc_shirt values(54, 0, 'Two-Ball Shirt', 'orderable', 'Grp A', 'all') 
insert into acgc_shirt values(55, 0, 'Three-Ball Shirt', 'orderable', 'Grp B', 'all') 
insert into acgc_shirt values(56, 0, 'Four-Ball Shirt', 'orderable', 'Grp C', 'all') 
insert into acgc_shirt values(57, 0, 'Five-Ball Shirt', 'orderable', 'Grp A', 'all') 
insert into acgc_shirt values(58, 0, 'Six-Ball Shirt', 'orderable', 'Grp B', 'all') 
insert into acgc_shirt values(59, 0, 'Seven-Ball Shirt', 'orderable', 'Grp C', 'all') 
insert into acgc_shirt values(60, 0, 'Eight-Ball Shirt', 'orderable', 'Grp A', 'all') 
insert into acgc_shirt values(61, 0, 'Nine-Ball Shirt', 'orderable', 'Grp B', 'all') 
insert into acgc_shirt values(62, 0, 'Arctic Camo', 'orderable', 'Grp C', 'all') 
insert into acgc_shirt values(63, 0, 'Jungle Camo', 'orderable', 'Grp A', 'all') 
insert into acgc_shirt values(64, 0, 'Desert Camo', 'orderable', 'Grp B', 'all') 
insert into acgc_shirt values(65, 0, 'Rally Shirt', 'orderable', 'Grp C', 'all') 
insert into acgc_shirt values(66, 0, 'Racer Shirt', 'orderable', 'Grp A', 'all') 
insert into acgc_shirt values(67, 0, 'Racer 6 Shirt', 'orderable', 'Grp B', 'all') 
insert into acgc_shirt values(68, 0, 'Tomato Juice Shirt', 'orderable', 'Grp C', 'all') 
insert into acgc_shirt values(69, 0, 'Spiderweb Shirt', 'orderable', 'Grp B', 'summer') 
insert into acgc_shirt values(70, 0, 'Zipper Shirt', 'orderable', 'Grp C', 'all') 
insert into acgc_shirt values(71, 0, 'Bubble Shirt', 'orderable', 'Grp B', 'summer') 
insert into acgc_shirt values(72, 0, 'Yellow Bolero', 'orderable', 'Grp B', 'all') 
insert into acgc_shirt values(73, 0, 'Nebula Shirt', 'orderable', 'Grp A', 'all') 
insert into acgc_shirt values(74, 0, 'Neo-Classic Knit', 'orderable', 'Grp B', 'winter') 
